feature,t_stat,p_value,mean_A,mean_B
V1,-4.498852768109578,3.6227665481266065e-05,-2.344590921803327,0.006716684675164382
V2,4.678141737659684,1.7846880234428073e-05,2.0519791810078694,0.034986726976753
V3,-6.6492459674856095,1.6980675398485446e-08,-4.780642122635674,0.07969952921046372
V4,10.378876033185943,1.7731255556640368e-15,3.4164722916351793,-0.28083105622360793
V5,-3.9351851501343327,0.0002444415490135343,-2.3719568587471476,-0.0770248924528813
V6,-3.965109172704505,0.000161793321123349,-0.9725616124656905,-0.010061856627312609
V7,-4.584256175807983,3.0524782907981596e-05,-4.2340498093415775,-0.06489193423394396
V8,0.8801334454765579,0.38304060288643393,0.7494150485760349,0.1511139633387909
V9,-6.598563532300831,5.498309080034699e-09,-2.411863701218216,-0.03065384622052396
V10,-7.078284052267797,2.0720654768497294e-09,-5.193389328409264,0.06368321393776202
V11,7.548224528644895,3.4258961322314904e-10,3.4851244960625776,0.024589057012563652
V12,-8.039907870858363,1.0514651220672527e-10,-6.353928052673789,-0.0483129351259908
V13,-0.6041217554081827,0.5471692113468495,-0.06062587190790202,0.06329699085888851
V14,-9.184586621951423,1.1291986454917775e-12,-6.85514503127773,-0.33538501282785843
V15,-1.8937342425687664,0.06121115801185491,-0.37903215204498136,0.042490163621724905
V16,-6.277096805663494,6.003719732588774e-08,-4.349081663859619,-0.02978017634631772
V17,-6.081503128094819,1.5868379456042052e-07,-7.184475754009395,0.15966612609246508
V18,-5.82307650395535,2.618027656416803e-07,-2.655336237626054,0.34863055859737174
V19,2.3059248887578505,0.023597386044934023,0.4650646439023518,-0.24080619192765643
V20,1.3479257063317727,0.18213651153269825,0.48885703114320833,0.057403174715614964
V21,0.20656154353236997,0.8371878057759428,0.08493862342273426,-0.027758031616484782
V22,0.18896344064677498,0.8505734271827117,0.13351537046463643,0.08316884754012083
V23,-0.6830148776464664,0.49750819657016476,-0.22002859504541925,0.00958549457210501
V24,0.07217430196781897,0.9426192090414665,-0.17317429651410643,-0.18799142451017845
V25,-0.19753860663893805,0.8438770208390578,0.11365935859850045,0.16458966594812613
V26,-0.13074786468564933,0.8962433448435223,0.03901663333070948,0.06248562892004754
V27,0.5097285855009409,0.6119129234945244,0.5141907872318846,0.2541832869532148
V28,-0.3681611556966976,0.7136820704409241,0.056676239266406546,0.16177240874286003
Amount,1.7746583245445302,0.08129535459334075,0.3116387475919989,-0.07708477802048415
